reviews.rating,reviews.text,,,,,,,,,,,,,,,,,,,
4,Bought it for my 10 yr old granddaughter. Does everything she wants it to do in a tablet.,,,,,,,,,,,,,,,,,,,
5,Very easy to use tablet. Lots of apps and game available.,,,,,,,,,,,,,,,,,,,
5,"We love the FreeTime settings for kids on the newer Kindle Fires. I was able to create a login for each of our kids as well as myself and set limits to the amount of device time they are allowed daily (can set to more for weekends if desired). You can set the age restrictions for content also, to avoid inappropriate ads, etc. Once you've downloaded apps, you can choose which ones you want each child to have access to in their profile settings, so if one child is older you can allow them access to something their younger siblings shouldn't have. Basically, I like that I can set their access rights and know they're safe so I don't have to continually monitor every moment. By the way, FreeTime kids settings are available without having to subscribe to their FreeTime app access plan. :)",,,,,,,,,,,,,,,,,,,
5,"Great tablet, very clear picture. Would buy again.",,,,,,,,,,,,,,,,,,,
4,Good reader which is why I bought it. Ads are annoying.,,,,,,,,,,,,,,,,,,,
4,"It's a mini computer packed in a handheld devise. Applications load quickly and I am able to get my work completed, while riding the commuter rail.",,,,,,,,,,,,,,,,,,,
4,Nice for a smaller tablet. It's good for Internet surfing.,,,,,,,,,,,,,,,,,,,
5,"Purchased as a door prize gift given with a one year Amazon membership. The recipient loves it and says it performs very well. (As a past Amazon Fire user, now i-Pad graduate, I loved my Amazon Fire for more than 4 years without any problems. In fact, I just recycled it on to my son and it runs like a champ).",,,,,,,,,,,,,,,,,,,
5,"I have 4 other kinds of tables. This the best I have had. I can listen to music, read a book, listen to a book, or watch movies/tv shows.",,,,,,,,,,,,,,,,,,,
5,Great product for the kids gaming apps parental controls to make sure you can monitor kids and prevent unwanted app purchases,,,,,,,,,,,,,,,,,,,
5,I purchased 2 of these tablets for my 6 and 8 year old. They were a Black Friday special for $59. They are perfect for the apps and games they wanted.,,,,,,,,,,,,,,,,,,,
5,Great product. Love the Amazon ecosystem. The Freetime subscription is a must,,,,,,,,,,,,,,,,,,,
5,"Needed something a bit larger than the 6+ to stream Netflix, this was perfect!",,,,,,,,,,,,,,,,,,,
5,"my husband bought this for me as a Christmas present. I couldn't understand why he bought it because I already have a Kindle Fire.Once I opened it and got it going, I loved all it could do plus the graphic is so much colorful than my older Kindle.",,,,,,,,,,,,,,,,,,,
5,my grandson-8-loves this --the games and the books!,,,,,,,,,,,,,,,,,,,
4,Great product and I'm very satisfied with it. I recommend it to other people.,,,,,,,,,,,,,,,,,,,
4,I purchased this tablet for my niece for Christmas and she love it.,,,,,,,,,,,,,,,,,,,
5,"Easy to use, responds quickly, great screen brightness.",,,,,,,,,,,,,,,,,,,
4,Great tablet but apps limited comparison of other tablets.,,,,,,,,,,,,,,,,,,,
5,Works as we thought it should. NO PROBLEMS. Good buying experience.,,,,,,,,,,,,,,,,,,,
4,"We have the smaller one, and been great. This one is even better, because of the size.",,,,,,,,,,,,,,,,,,,
5,"I am a prime member & I love this tablet. Very user friendly especially if you are a prime member with amazon. Not real tech savvy so I need all the help I can get to keep things simple & automatic. Great clarity of picture/data. Have a 10"" tablet and wasn't sure about downgrading size (old eyes) but was delighted to see it works fine at 8"" instead of 10"". Also, easier to take around in the smaller size. Highly recommend especially if you subscribe to Amazon and are a prime member. Great benefits!!",,,,,,,,,,,,,,,,,,,
5,Got this for my wife. She loves the bigger screen and the better app management features that this one has over her earlier generation kindle. Definitely worth it!,,,,,,,,,,,,,,,,,,,
5,"Connects to home WiFi automatically. Many books, and many games. Actually functions like a computer tablet. E-mail is a breeze.",,,,,,,,,,,,,,,,,,,
5,"Bought this to replace no-name budget tablet for my daughter. She loves this as it is much faster and has a better display than her old tablet. This is a wonderful value as it is faster, has a better display and sound, is a name brand and cost about the same ... what's not to love about this product?",,,,,,,,,,,,,,,,,,,
5,"She loves this tablet. It works well unlike her ""bargain"" tablet which she tried to use previously and cost about the same. She likes the sound of it also! She enjoys the free games she downloaded and navigates the wev easily with it.",,,,,,,,,,,,,,,,,,,
4,"It's no iPad, but it's great for Netflix and some app games. I'm not worried about the kids getting their paws on it since it's relatively inexpensive.",,,,,,,,,,,,,,,,,,,
2,Didn't have some of the features I was looking for. Returned it the next day. May be good for others,,,,,,,,,,,,,,,,,,,
5,I bought this for my daughter and she loves it. It's speedy when loading books!,,,,,,,,,,,,,,,,,,,
4,Purchased for my wife who reads a lot and truly enjoys the amazon fire.,,,,,,,,,,,,,,,,,,,
4,"A great Christmas gift, the kids love the gifts...",,,,,,,,,,,,,,,,,,,
5,"Daughter got this as a present. It was easy to set up and display is great. Features allow us to limit her time on games, web, etc. while allowing her unlimited time to read",,,,,,,,,,,,,,,,,,,
5,I have enjoyed just learning how to use it. You're never too old to learn new things.,,,,,,,,,,,,,,,,,,,
5,bought for husband and he was surprised it does the work he needs it for,,,,,,,,,,,,,,,,,,,
5,This was a birthday present and it was ideal for a traveler to read ebooks on while on the rood,,,,,,,,,,,,,,,,,,,
5,"My teenage daughter enjoyed her three year old 7"" Kindle for recreation but wanted a larger screen for word processing. Paired this with a Bluetooth keyboard and she was thrilled.",,,,,,,,,,,,,,,,,,,
1,"i Bought this around black friday for $60 hoping it would be awesome... it failed so hard i tried multiple different micro SD cards none of which were recognized and YES i formated them with every format i could think of ... Fat32, NTFS, Fat, Xfat... i even tried to have the tablet do it... didnt work... to make matters worse half the apps i wanted to use werent in the app store and i came to find out that it isnt linked to the normal google play store this tablet has its own app store which is missing many common apps... the main reason i bought this was to play clash of clans and i cant because it wasnt on the app store... i tried to also use aftermarket play stores to play COC but it didnt work... launched and played 1 time but didnt work or update after that... needless to say i returned it and bought a $250 samsung galaxy tab A 10.1 (2016 version) with S-pen and its WAYYYYY better... bottom line you get what you pay for... also hint the s-pen version has an extra 1 GB of ram over the non pen version... so you should get that if you can afford the extra $50...",,,,,,,,,,,,,,,,,,,
5,The People I purchased this for during Christmas Holiday LOVED IT...,,,,,,,,,,,,,,,,,,,
5,"I purchased two of these for my kids, ages 12 and 10. Forget the IPod touch. For the price, this tablet can't be beat! They can download games, books and movies for free all included with my Amazon Prime membership. Awesome!!",,,,,,,,,,,,,,,,,,,
5,my kids enjoy the Fire HD and they love the picture quality,,,,,,,,,,,,,,,,,,,
4,Bought two of these tablets for my nieces for Christmas after we had originally bought the Amazon fire 7 inch which had a virus after 3 days of purchase and was unable to work good thing we played with it prior to giving as gift do to this being said I was very surprised on how well this tablet has held up to to not so careful 8 years olds playing with it daily we have had no problems screen is big enough for little hands to maneuver and see on was the highlight of there Christmas and still is would definitely recommend it,,,,,,,,,,,,,,,,,,,
5,Really like the updates this product has in comparison to my first one,,,,,,,,,,,,,,,,,,,
5,Functionality and ease of use are outstanding right out of the the box. Super clear screen and weight is minimum and is a joy to use.,,,,,,,,,,,,,,,,,,,
5,This tablet is great for kids and adults who have little to no knowledge of computers. It handles easily and has plenty of storage,,,,,,,,,,,,,,,,,,,
5,My god sister has been using these for years.What to read more!,,,,,,,,,,,,,,,,,,,
5,"The latest Amazon 8"" HD tablet is a very good tablet for the price. The updated processor and extra memory (with expansion slot) allow for very good performance on all that we use this tablet for. Netflix, Hulu, browsing the internet, and doing e-mails all work very smoothly. Would recommend to anyone looking for a very cost effective tablet",,,,,,,,,,,,,,,,,,,
5,"totally worth the money, has all the apps I use on a daily basis!",,,,,,,,,,,,,,,,,,,
5,Good tablet. Wife loves it and would recommend....,,,,,,,,,,,,,,,,,,,
5,I use mine mainly for its bigger screen. I do all the same things i do on my phone..but love the big screen. I bought one for eaxh of my nieces too. And they both love theres. Making videos..playing music..reading books. They bith love them! Im happy i got them for all of us. And always reccomend them to my friends for their kids too.,,,,,,,,,,,,,,,,,,,
5,"Amazon Fire HD8 is a great product for the price. I picked it up for $69 during the holiday shopping season. Replacing a 1st gen Samsung Tab 2. This thing is sooo much faster. Perfect size for reading Kindle books , emails, and doing the social media thing.",,,,,,,,,,,,,,,,,,,
4,It was a good gift for the price and had many features and options,,,,,,,,,,,,,,,,,,,
4,"Not as fancy as the ipad, but a fraction of the cost works well with android system and all apps like on our android phones, cant beat the price",,,,,,,,,,,,,,,,,,,
5,"My kids can play, read, watch movies and much more love it!!!",,,,,,,,,,,,,,,,,,,
4,"Great tablet for reading books, but the bluetooth is hard to get working and there are much better tablets for games and movies",,,,,,,,,,,,,,,,,,,
5,I love this Kindle!! I am biased I think however I have had 3 previous ones I prefer Kindles to any other tablet,,,,,,,,,,,,,,,,,,,
4,This is a great tablet for kids. I love that their time on the tablet can be restricted.,,,,,,,,,,,,,,,,,,,
4,Easy to use. Good size. Great eReader. Not so expensive that I worry about my kids using it.,,,,,,,,,,,,,,,,,,,
5,This Tablet was purchased for our Grandmother so she could play games and read books on.,,,,,,,,,,,,,,,,,,,
5,"Bought a few of these for Christmas gifts .Everyone is happy !Its a great device for the $$. Low price, and great quality as always from FIRE devices.",,,,,,,,,,,,,,,,,,,
4,"I purchased this item for my husband and he has liked reading Kindle books on it and the other features like Silk, etc. Light little tablet with good features.",,,,,,,,,,,,,,,,,,,
5,"Bought this for our year end holiday party raffle prize pool. Great price and people always have a use for an amazon tablet. Came with Kaspersky for free as well, which is a pretty generous complimentary add on.",,,,,,,,,,,,,,,,,,,
4,"My 6 yr old daughter got this tablet from Santa for Christmas. So far she loves it, a little too much perhaps.. I only use it to manage her account/permissions and so far haven't had any issues with it.. Software and HW not quite as refined as apple iPad products, but what can you expect at the lower price point.",,,,,,,,,,,,,,,,,,,
4,"my opinion its a good option for the cost. Not as great as Apple Ipad, but it costs so much less. Still can get good use",,,,,,,,,,,,,,,,,,,
5,"Has many educational apps I would definitely go into the settings if you're a mother like me who Is a very strict of what your children watch on TV or what games and apps they download I would definitely recommend setting the parental controls before giving it to them. In my personal opinion as a mother I feel it helps by setting the restrictions/content on It helps keep their mind away from the gutter Bcuz most apps and Internet websites have inappropriate sites children should not be watching. We can't control what they put on the Internet but we can control what our children watch and download they stay very occupied on educational apps ,read books most of these apps are free to I also recommend NOT putting a payment method option other than that my kids loved it",,,,,,,,,,,,,,,,,,,
4,"the hd feature is what sold me on this product, along with the fact its a lotmore streamline than the older version that I have",,,,,,,,,,,,,,,,,,,
5,"Very nice for light internet browsing, keeping on top of email, viewing videos, and reading e books, which I like to get free from the library. Good browser, good battery power, fast charge. Very relaxing to sit in a comfy chair and read or browse. Has given me hours of enjoyment and information for a minimal price.",,,,,,,,,,,,,,,,,,,
5,I bought this for my wife to replace her old Kindle and she loves it. Much easier to read than an iPad and updated features make it a great purchase.,,,,,,,,,,,,,,,,,,,
5,Great tablet and price. Ordering online easy. Not happy took so long to receive though.,,,,,,,,,,,,,,,,,,,
5,"Best tablet, good price, nice looking. Ordering on line was easy.",,,,,,,,,,,,,,,,,,,
5,"I got this for my mom for Christmas. Every time I visit, she shows me something else she can do with it. I'm so jealous, I hope I get one.",,,,,,,,,,,,,,,,,,,
5,This is my fourth Kindle...upgrading each time. Mine goes everywhere with me and is used throughout the day. Wouldn't be without it.,,,,,,,,,,,,,,,,,,,
5,We bought this for our son when he went to college. He is able to upload all of his books and other documents.,,,,,,,,,,,,,,,,,,,
5,I purchased it for my mother-in-law and she loves it it was easier for her to use and understand,,,,,,,,,,,,,,,,,,,
5,The Amazon Fire is amazing! Picture clarity and sound are excellent! I highly recommend this tablet! Love it!,,,,,,,,,,,,,,,,,,,
5,Sharp picture and easy to use. And a fantastic price,,,,,,,,,,,,,,,,,,,
4,I like this is great I bought it my friend he was pleased abount,,,,,,,,,,,,,,,,,,,
4,I wanted a low cost but quality tablet and this one is a dream! Easy to navigate and excellent graphics.,,,,,,,,,,,,,,,,,,,
5,This a great tablet for everyone. Plenty of memory for downloading. Great features all around.,,,,,,,,,,,,,,,,,,,
5,"I own two Nook tablets, another Kindle and a Samsung and this is the best one yet. Excellent battery life. Lets me check emails the Web and with Kindle. books can be switched from reads to listens. Also works better than the Nook with audiobooks.",,,,,,,,,,,,,,,,,,,
1,I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.,,,,,,,,,,,,,,,,,,,
5,This is a step up from what my son was using. He said it does well and easy to use.,,,,,,,,,,,,,,,,,,,
4,This is a good tablet for kids who are starting off,,,,,,,,,,,,,,,,,,,
5,I bought this for my 6 year old and it's perfect. Faster & clearer than older versions.,,,,,,,,,,,,,,,,,,,
5,Awesome good size large enough for games and photos,,,,,,,,,,,,,,,,,,,
5,Great gift easy to use and she loves being able to take it anywhere,,,,,,,,,,,,,,,,,,,
5,"I bought this to replace the 7 inch version I lost in the airport. I wanted the bigger screen and the higher resolutions. It is much when loading games in offline mode as well as videos I have downloaded from Amazon Prime to play on the plane when wifi is not available. That was a plus for me. And now that the updated Netflix app allows the same thing, I have plenty of videos. I can also play my .mp4 videos using VLC player that I load to a microSD card. Of course you have wifi and Bluetooth so great for surfing try he net or listening to music. The 8 in screen is perfect for lying in bed and watching my show. I highly recommend this.",,,,,,,,,,,,,,,,,,,
5,"Intuitive user interface, rapid online access through well designed features, light weight, ergonomic buttons for volume and power. Overall a thoroughly well designed, excellent priced device for web browsing and social media.",,,,,,,,,,,,,,,,,,,
4,PURCHASED THIS WITH A STORE CREDIT AND LIKE IT A LOT. COMPARES WELL WITH MORE EXPENSIVE TABLETS..RECOMMENDED,,,,,,,,,,,,,,,,,,,
5,"great device for the price. good looking screen, quick and efficient. amazon app store isn't that bad either",,,,,,,,,,,,,,,,,,,
5,Great gift for any age. Wish I bought two. I can do everything on this that I was doing on my ipad,,,,,,,,,,,,,,,,,,,
4,Great budget tablet for web browsing. Also useful as an MP3 player and ebook reader.,,,,,,,,,,,,,,,,,,,
5,I got 2 of these for my 8 yr old twins. My 11 yr old has one but this one is better. Perfect way to get them to read,,,,,,,,,,,,,,,,,,,
5,This is a superb tablet for the price. It doesn't come with the Android operating system. It has Amazon's operating system. The battery last a good long time and apps run very fast. I would recommend this to anyone who wants a tablet.,,,,,,,,,,,,,,,,,,,
5,"My daughter love her new tablet, I use for a few days and it's pretty good",,,,,,,,,,,,,,,,,,,
5,So very happy with the new kindle ! I highly recommend this product !,,,,,,,,,,,,,,,,,,,
5,It may be cheap but this is a great tablet and works awesome.,,,,,,,,,,,,,,,,,,,
5,My wife absolutely loves this tablet. It wad an early Christmas present,,,,,,,,,,,,,,,,,,,
5,Bought for my 11 year old son and he absolutely loves it.,,,,,,,,,,,,,,,,,,,
5,I bought this as a Christmas gift for my son. Very easy to use.,,,,,,,,,,,,,,,,,,,
4,This product is very handy on the go. I can check emails and find work for my truck.,,,,,,,,,,,,,,,,,,,
5,"I am an Amazon Fan. Ive only had Amazon tablets so I cant compare them with any other brand. But, Amazon has great customer service, a lot of great apps. The HD 8 is a great tablet for watching movies, most games, and social media. Its not as good as the Kindle fire hdx. The speakers arent as good, the hdx has more of a surround sound, but the hd 8 is less expensive, has a place for a sims card for extra space, and has an ok front and rear facing camera. Overall its a great tablet for a great price.",,,,,,,,,,,,,,,,,,,
5,"I previously had bought an older model of these tablets for my children. I wasn't to happy with them. But this tablet is great, it has child safety features like wether you would like to have them surf the web to even limiting the amount of hours your child can use it. Very good tablet for what my kids will use it for which is mostly Netflix Hulu and even though there isn't you tube app there are alternate apps that acces you tube.",,,,,,,,,,,,,,,,,,,
